brandname,details,sizes,mrp,sellprice,discount,category
And,solid v-neck womens tie-ups top - sage,"Size:8,10,12,14,16",1499.0,749,50% ,Westernwear-Women
Van Heusen,skinny fit knee length cotton stretch womens leggings - light mauve,"Size:Large,Medium,Small,X-Large",0.0,1199,Nan,Westernwear-Women
Zink London,solid polyester choker neck womens top - purple,"Size:Large,Medium,Small,X-Large",1599.0,959,40% ,Westernwear-Women
Puma,printed cotton crew neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,909,30% ,Westernwear-Women
Allen Solly,womens collared solid shirt - black,"Size:X-Small,XX-Large",1599.0,1279,20% ,Westernwear-Women
Madame,stripes cotton collar neck womens top - green,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749,50% ,Westernwear-Women
Levis,graphic cotton womens casual t-shirt - pink,"Size:Large,Medium",0.0,1199,Nan,Westernwear-Women
And,floral square neck viscose womens regular fit gown - blue mix light,Size:12,2799.0,1399,50% ,Westernwear-Women
Dolce Crudo,solid notch collar fleece womens casual wear jacket - off white,"Size:Small,X-Small",4799.0,1919,60% ,Westernwear-Women
Zink London,solid polyester shirt collar womens regular fit top - mustard,"Size:Small,X-Small",1599.0,639,60% ,Westernwear-Women
Vero Moda,printed cotton shoulder straps womens dress - white,"Size:Large,Medium,Small,X-Large,X-Small",3799.0,3039,20% ,Westernwear-Women
Faballey,solid crepe round neck womens shift dress - blue,"Size:Large,Medium,Small,X-Large,X-Small",1800.0,900,50% ,Westernwear-Women
Stop,textured open neck acrylic womens shrugs - natural,"Size:Large,Medium,Small,X-Large,XX-Large",2199.0,1099,50% ,Westernwear-Women
Faballey,solid georgette square neck womens regular top - green,"Size:Large,X-Large",1400.0,1120,20% ,Westernwear-Women
Stop,solid polyester pussy bow womens smart formals top - off white,"Size:Large,Medium,Small,XX-Large",1199.0,599,50% ,Westernwear-Women
Zink London,solid polyester round neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,899,40% ,Westernwear-Women
Kraus,skinny fit ankle length cotton blend womens jeans - blue,"Size:28,30,32,34,36,38",1895.0,1326,30% ,Westernwear-Women
Only,crochet cotton womens top - natural,"Size:Large,Medium,Small,X-Large,X-Small",2299.0,1609,30% ,Westernwear-Women
Zink London,solid viscose blend scoop neck womens straight top - green,"Size:Large,Medium,Small",1499.0,899,40% ,Westernwear-Women
Zink London,solid polyester boat neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,779,40% ,Westernwear-Women
Only,all over print polyester v neck womens t-shirt - orange,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,1399,30% ,Westernwear-Women
Vero Moda,textured cotton blend square neck womens dress - yellow,"Size:Large,Medium,Small,X-Large,X-Small",3299.0,1979,40% ,Westernwear-Women
Life,stripes collared neck rayon womens casual shirt - olive,"Size:Large,Medium,Small,X-Small",699.0,349,50% ,Westernwear-Women
Dolce Crudo,womens regular fit celebrate love wide leg jeans light blue - light blue,"Size:26,30,32,34",2399.0,1199,50% ,Westernwear-Women
Allen Solly,solid viscose round neck womens t-shirt - orange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799.0,1079,40% ,Westernwear-Women
Jealous 21,solid viscose round neck womens top - black,"Size:Large,Medium,Small,X-Large",0.0,999,Nan,Westernwear-Women
Zink London,solid round neck polyester womens a-line dress - red,"Size:Large,Medium,Small,X-Large,X-Small",2399.0,1439,40% ,Westernwear-Women
Zink London,structured polyester off shoulder womens casual wear dresses - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499.0,999,60% ,Westernwear-Women
Stop,solid viscose regular fit womens top - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",0.0,1299,Nan,Westernwear-Women
Rare,regular fit midi length polyester womens casual skirt - multi,"Size:28,30,32",1899.0,854,55% ,Westernwear-Women
Faballey,printed crepe sweetheart neck womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",1400.0,1120,20% ,Westernwear-Women
Van Heusen,textured polyester regular fit womens jacket - ecru,"Size:Large,Medium,Small,X-Large,X-Small",0.0,4299,Nan,Westernwear-Women
Forever New,solid viscose round neck womens top - black,"Size:X-Small,XX-Small",2200.0,1760,20% ,Westernwear-Women
Insense,regular fit full length rayon womens night wear pyjama - natural,"Size:28,30,32,34,36",699.0,349,50% ,Westernwear-Women
Reebok,solid slim fit polyester womens athleisure track pants - black,"Size:Large,Medium,Small,X-Small",3299.0,1649,50% ,Westernwear-Women
Only,geometric polyester skinny fit womens pants - white,"Size:Large,Medium,Small,X-Large,X-Small",2499.0,1749,30% ,Westernwear-Women
Madame,womens round neck solid knee length dress - black,"Size:Large,X-Large",2499.0,1499,40% ,Westernwear-Women
Iti,solid 3/4 sleeves georgette womens ankle length jumpsuit - olive,Size:Small,0.0,2499,Nan,Westernwear-Women
Sera,floral three quarter sleeves polyester womens regular jumpsuits - multi,Size:Small,2498.0,1249,50% ,Westernwear-Women
Faballey,floral round neck georgette womens a-line dress - black,"Size:Large,Medium,Small,X-Large",2250.0,1800,20% ,Westernwear-Women
Zink London,printed polyester v neck womens top - off white,"Size:Large,Medium,Small,X-Large",1699.0,1019,40% ,Westernwear-Women
Altlife,solid cotton regular neck womens t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",499.0,249,50% ,Westernwear-Women
Fratini,embroidered cotton blend round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,799,Nan,Westernwear-Women
Zink London,solid polyester boat neck womens top - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599.0,959,40% ,Westernwear-Women
Only,solid round neck polyester womens casual wear jacket - green,Size:X-Large,2999.0,1499,50% ,Westernwear-Women
Campus Sutra,solid off shoulder crepe womens dresses - black,"Size:Medium,Small,X-Large",0.0,1999,Nan,Westernwear-Women
Levis,solid cotton round neck womens casual shirt - grey,"Size:Large,Medium,Small,X-Small",0.0,2499,Nan,Westernwear-Women
Zink London,printed cotton round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small",899.0,539,40% ,Westernwear-Women
Only,straight fit polyester womens casual wear pants - grey,"Size:34,36,38,40,42",2799.0,1679,40% ,Westernwear-Women
Infuse,regular fit thigh length cotton terry womens athleisure shorts - blush,"Size:28,30,32,34,36",599.0,239,60% ,Westernwear-Women
Allen Solly,printed polyester v neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1999.0,1599,20% ,Westernwear-Women
Fratini,solid polyester blend round neck womens regular top - blue,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449,50% ,Westernwear-Women
Life,regular fit full length cotton womens athleisure tracks - navy,"Size:28,30,32,34,36",799.0,399,50% ,Westernwear-Women
And,solid 3/4 sleeves polyester womens regular length jumpsuit - peach,"Size:8,10,12,14,16",0.0,3499,Nan,Westernwear-Women
Faballey,floral cotton sweetheart neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",1500.0,1200,20% ,Westernwear-Women
Latin Quarters,printed rayon mandarin womens regular top - blue,"Size:S,M,L,XL,XX-Large",1450.0,725,50% ,Westernwear-Women
Infuse,checks viscose round neck womens regular fit woven top - black,"Size:Large,Medium,Small,X-Large,XX-Large",999.0,399,60% ,Westernwear-Women
Zink London,solid polyester round neck womens straight top - blue,"Size:Large,Medium,Small,X-Small",1599.0,799,50% ,Westernwear-Women
Sera,solid v neck polyester womens regular dress - brown,"Size:Medium,Small",1998.0,799,60% ,Westernwear-Women
Zink London,printed rayon v neck womens casual wear dresses - purple,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2399.0,959,60% ,Westernwear-Women
Van Heusen,womens regular fit solid pencil skirt - black,"Size:26,28,30,32,34,36",0.0,2199,Nan,Westernwear-Women
Pepe,all over print viscose linen collar neck womens casual shirt - multi,"Size:Large,Medium,Small,X-Large",2199.0,1319,40% ,Westernwear-Women
Van Heusen,solid polyester round neck womens formal shirt - mid blue,Size:Medium,1699.0,999,41% ,Westernwear-Women
Global Desi,womens regular fit floral tunic - mustard,"Size:XL,Large,Medium,Small,XX-Large",1999.0,599,70% ,Westernwear-Women
Forever New,printed polyester v neck womens regular dress - print,"Size:8,10,12",7200.0,5040,30% ,Westernwear-Women
Iti,womens solid sleeveless boat neck fit and flare maxi dress - red,Size:X-Small,0.0,2699,Nan,Westernwear-Women
Marie Claire,solid shirt collar polyester womens casual dress - peach,Size:X-Small,2499.0,1124,55% ,Westernwear-Women
Life,striped sleeveless viscose womens regular length jumpsuit - pink,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,849,50% ,Westernwear-Women
Altlife,solid regular fit womens active wear tops - nude,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",799.0,399,50% ,Westernwear-Women
Sera,floral sweetheart neck rayon blend womens a-line dress - black,"Size:Large,Medium,Small,X-Large",1998.0,799,60% ,Westernwear-Women
Life,checks collar neck rayon womens regular dress - olive,"Size:Medium,Small,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Cover Story,solid polyester square neck womens dress - lime green,"Size:Large,Medium,Small,X-Large,X-Small",0.0,2590,Nan,Westernwear-Women
And,solid collar neck viscose womens midi dress - yellow,"Size:8,10,12,14,16,18",0.0,3899,Nan,Westernwear-Women
Madame,solid cotton blend round neck womens top - lemon,"Size:Large,Medium,Small,X-Large,XX-Large",1199.0,599,50% ,Westernwear-Women
Life,women cotton regular sleepwear - multi,"Size:Large,Medium,X-Large,X-Small",1199.0,599,50% ,Westernwear-Women
Only,skinny fit regular cotton womens jeans - black,"Size:25,26,27,28,29,30,31,32,33,34",3499.0,2799,20% ,Westernwear-Women
Indya,shraddha kapoor for indya women blue & silver-coloured chevron foil printed flared maxi skir - blue,"Size:Large,Medium,Small,X-Large,X-Small",2950.0,2360,20% ,Westernwear-Women
Puma,printed cotton crew neck womens t-shirt - cream,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,909,30% ,Westernwear-Women
Infuse,solid cotton round neck womens regular t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small",499.0,299,40% ,Westernwear-Women
And,solid acrylic round neck womens straight dress - yellow,"Size:12,14,16,18",3499.0,1749,50% ,Westernwear-Women
Zink London,printed tie-up neck rayon womens dresses - black,"Size:Large,Medium,Small,X-Large",2299.0,919,60% ,Westernwear-Women
Latin Quarters,printed cotton womens regular dress - natural,"Size:S,M,L,XL,XX-Large",2699.0,1889,30% ,Westernwear-Women
Fratini,solid polyester round neck womens regular top - mustard,"Size:Large,Medium,Small,X-Large,XX-Large",1199.0,599,50% ,Westernwear-Women
Life,solid round neck viscose womens regular top - off white,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599,50% ,Westernwear-Women
Rare,solid polyester key hole neck womens blouson top - mint,"Size:Large,Medium,Small,X-Large",1599.0,639,60% ,Westernwear-Women
Latin Quarters,regular fit regular cotton womens skirt - blue,"Size:S,M,L",1699.0,799,53% ,Westernwear-Women
Kraus,skinny fit ankle length cotton blend womens jeans - black,"Size:28,30,38",1695.0,1186,30% ,Westernwear-Women
Allen Solly,solid polyester round neck womens top - pink,"Size:Large,Medium,Small",1499.0,899,40% ,Westernwear-Women
Fratini,solid polyester blend round neck womens regular top - olive,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449,50% ,Westernwear-Women
Zink London,womens structure square neck shift dress - yellow,Size:XX-Large,2299.0,699,70% ,Westernwear-Women
Only,cotton collar neck womens casual jacket - gray,"Size:Large,Medium,Small,X-Large,X-Small",4299.0,3009,30% ,Westernwear-Women
Only,solid cotton womens t-shirt - black,"Size:Large,Medium,Small,X-Small",2299.0,1149,50% ,Westernwear-Women
Cover Story,regular fit cotton womens casual trousers - black,"Size:26,28,30,32,34",0.0,1590,Nan,Westernwear-Women
Vero Moda,printed round neck viscose womens top - natural,"Size:Medium,Small,X-Small",2499.0,1999,20% ,Westernwear-Women
Faballey,solid round neck polyester womens regular dress - green,"Size:Large,Medium,Small,X-Large,X-Small",2100.0,1050,50% ,Westernwear-Women
Zink London,printed square neck polyester blend womens shift dress - blue,Size:Large,2249.0,599,73% ,Westernwear-Women
Vero Moda,dark wash cotton bootcut fit womens jeans - blue,"Size:26,27,28,29,30,31,32,33,34",3799.0,2659,30% ,Westernwear-Women
Zink London,printed viscose round neck womens straight fit t-shirt - green,"Size:Large,Medium,Small,X-Small",1299.0,399,69% ,Westernwear-Women
Life,printed viscose collar neck womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599,50% ,Westernwear-Women
Stop,printed viscose round neck womens regular top - off white,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449,50% ,Westernwear-Women
Faballey,textured georgette round neck womens regular top - purple,"Size:Large,Medium,Small,X-Large,X-Small",1600.0,1280,20% ,Westernwear-Women
Kraus,solid cotton round neck womens top - black,"Size:Large,Medium,Small",999.0,899,10% ,Westernwear-Women
Life,printed cotton blend round neck womens sweatshirt - multi,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Vero Moda,solid viscose regular fit womens pants - blue,"Size:Large,Medium,Small,X-Large,X-Small",2999.0,2099,30% ,Westernwear-Women
Cover Story,solid cotton schifley round neck womens dress - red,"Size:Large,Medium,Small,X-Large,X-Small",3490.0,2094,40% ,Westernwear-Women
Life,printed  rayon womens regular fit dress - lilac,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749,50% ,Westernwear-Women
Stop,printed collared neck polyester womens formal shirt - white,"Size:Large,Medium,Small,X-Large",999.0,499,50% ,Westernwear-Women
Life,printed cotton round neck womens regular fit top - navy,"Size:Large,Medium,Small,X-Large,X-Small",599.0,299,50% ,Westernwear-Women
Only,printed viscose regular womens casual wear shirt - black,"Size:36,38,42",2799.0,1959,30% ,Westernwear-Women
Latin Quarters,dyed acrylic round neck womens casual shrug - teal,"Size:S,M,L,XL",2399.0,1199,50% ,Westernwear-Women
Only,cotton round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749,50% ,Westernwear-Women
Zink London,textured cotton off shoulder womens dress - mint,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2999.0,1799,40% ,Westernwear-Women
Infuse,solid cotton round neck womens regular fit t-shirt - lavender,"Size:Medium,Small",399.0,199,50% ,Westernwear-Women
Fratini,solid round neck polyester womens regular dress - peach,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749,50% ,Westernwear-Women
Zink London,polyester women flared dress - peach,Size:Small,3999.0,1599,60% ,Westernwear-Women
Rare,printed sweetheart neck polyester womens fit and flare dress - green,"Size:Large,Medium,Small,X-Large,X-Small",2499.0,999,60% ,Westernwear-Women
Rare,printed collarless polyester womens casual shirt - off white,"Size:Large,Medium,Small,X-Large",1590.0,636,60% ,Westernwear-Women
Allen Solly,solid cotton regular fit womens face mask - pack of 3 - pink,Nan,0.0,599,Nan,Westernwear-Women
Zink London,checks cotton sweetheart neck womens top - green,Size:Large,1599.0,799,50% ,Westernwear-Women
Iti,womens solid flutter sleeves v neck tiered maxi dress - red,"Size:Medium,X-Small",0.0,2799,Nan,Westernwear-Women
Crimsoune Club,solid hood poly cotton womens sweatshirt - yellow,"Size:Large,Medium,Small,X-Large",1699.0,849,50% ,Westernwear-Women
Life,solid round neck cotton lycra womens regular fit top - black,"Size:X-Large,X-Small",599.0,299,50% ,Westernwear-Women
And,floral polyester round neck womens straight top - blue,"Size:8,10,12,14,16,18",1599.0,1279,20% ,Westernwear-Women
And,solid tapered fit rayon womens trousers - black,"Size:26,28,30,32,34,36",0.0,1999,Nan,Westernwear-Women
Enamor,cotton blend womens lounge pants - ginger snap,"Size:XL,Large,Medium,Small,XX-Large",949.0,664,30% ,Westernwear-Women
Levis,solid cotton round neck womens sweatshirt - gold,"Size:Large,Medium,Small,X-Small",0.0,2899,Nan,Westernwear-Women
Life,printed cotton round neck womens regular t-shirt - off white,"Size:Large,X-Large,X-Small,XX-Large",399.0,199,50% ,Westernwear-Women
Fratini,printed viscose collar neck womens casual shirt - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,1199,Nan,Westernwear-Women
Only,all over print polyester womens top - black,"Size:34,36,38,40,42",2499.0,1999,20% ,Westernwear-Women
Vero Moda,stripes polyester square neck womens top - white,"Size:Large,Medium,Small,X-Large",2599.0,2079,20% ,Westernwear-Women
Zink London,solid polyester square neck womens top - pink,"Size:Large,Medium,Small",1799.0,899,50% ,Westernwear-Women
Global Desi,floral mandarin collar womens tunic - aqua,"Size:XL,Large,Medium,Small,X-Small",1799.0,899,50% ,Westernwear-Women
